"MEASURE - US dollars at current prices in millions"

,YEAR,"2016","2017","2018","2019","2020"
"          Georgia","    Household consumption expenditure (including NPISH)",10563.6903315763,11344.1431868369,12197.8563815776,12330.381303659,12391.0307439115
"          Georgia","    General government final consumption expenditure",2317.9076572056,2250.1160570489,2324.5115890419,2291.4608939568,2294.0915941268
"          Germany","  Final consumption expenditure",2519334.624931811,2655523.466630593,2860771.366502743,2807762.97383529,2812718.45468172
"          Germany","    Household consumption expenditure (including NPISH)",1829260.776347627,1923242.664100003,2069099.615583528,2018315.146894115,1950845.825771212
"          Germany","    General government final consumption expenditure",690073.8485841845,732280.8025305895,791671.750919215,789447.8269411752,861872.6289105081
"          Germany, Federal Republic of","  Final consumption expenditure","_","_","_","_","_"
"          Germany, Federal Republic of","    Household consumption expenditure (including NPISH)","_","_","_","_","_"
"          Germany, Federal Republic of","    General government final consumption expenditure","_","_","_","_","_"
"          Ghana","  Final consumption expenditure",44807.4212404727,49651.7714462476,52744.779991352,56228.3780308719,57642.2938051632
"          Ghana","    Household consumption expenditure (including NPISH)",40377.712676096,45449.5013843233,47964.89486245,51414.1033569884,52155.5308459311
"          Ghana","    General government final consumption expenditure",4429.708564376701,4202.2700619243,4779.88512912,4814.2746740752,5486.7629592322
"          Greece","  Final consumption expenditure",171027.3596896005,178836.9666943203,188754.0436866705,182826.731045286,174893.2109768487
"          Greece","    Household consumption expenditure (including NPISH)",131241.4809245277,137882.2497824509,146820.1027609803,141727.837271341,131889.673676005
"          Greece","    General government final consumption expenditure",39785.8787650727,40954.7169118695,41933.9409256902,41098.893773945,43003.5373008437
"          Greenland","  Final consumption expenditure",2160.5890865001,2258.6941736479,2411.1297157238,2411.9560330269,2497.7896056911
"          Greenland","    Household consumption expenditure (including NPISH)",1014.2844277017,1049.2698445129,1092.792016926,1075.4283547107,1135.2171568951
"          Greenland","    General government final consumption expenditure",1146.3046587984,1209.424329135,1318.3376987979,1336.5276783162,1362.5724487959
"          Grenada","  Final consumption expenditure",856.078732963,887.9240692593,910.0800044444,925.27325,962.2354125926
"          Grenada","    Household consumption expenditure (including NPISH)",724.7013462963,756.5466825926,770.8694611111,785.128442963,817.1340051852
"          Grenada","    General government final consumption expenditure",131.3773866667,131.3773866667,139.2105433333,140.1448074074,145.1014074074
"          Guatemala","  Final consumption expenditure",62753.7646443016,68417.31498673691,70934.8086996589,73929.6129551654,73814.3088242798
"          Guatemala","    Household consumption expenditure (including NPISH)",55857.5564346394,60841.4901486488,62821.7161478323,65364.561058887,64855.0691173519
"          Guatemala","    General government final consumption expenditure",6896.2082096623,7575.8248380881,8113.0925518266,8565.0518961485,8959.2397069279
"          Guinea","  Final consumption expenditure",8640.5369202365,9257.1615433263,10555.4373846002,11796.9208164448,13492.1160530266
"          Guinea","    Household consumption expenditure (including NPISH)",7187.904933551,7679.9629921835,8719.743234554901,9726.407566314299,11154.3871112883
"          Guinea","    General government final consumption expenditure",1452.6319866854,1577.1985511427,1835.6941500453,2070.5132501306,2337.7289417384
"          Guinea-Bissau","  Final consumption expenditure",1180.9788029085,1327.4556784333,1403.3822889661,1502.2659542944,1419.9246356423
"          Guinea-Bissau","    Household consumption expenditure (including NPISH)",1023.9115071083,1134.9006041534,1201.2867236226,1290.9174794367,1216.5212496453
"          Guinea-Bissau","    General government final consumption expenditure",157.0672958003,192.5550742799,202.0955653416,211.3484748577,203.4033859952
"          Guyana","  Final consumption expenditure",3614.7172124019,4016.5303407215,4083.922339334,5273.1170398321,4194.4427576403
"          Guyana","    Household consumption expenditure (including NPISH)",2832.2919330944,3200.4585521404,3178.000951283,4145.6190530408,3301.2716626667
"          Guyana","    General government final consumption expenditure",782.4252793075,816.0717885811,905.921388051,1127.4979867914,893.1710949784
"          Haiti","  Final consumption expenditure",14009.4818830318,15756.1685577203,16917.4529928579,14764.8201248855,16188.7832421869
"          Haiti","    Household consumption expenditure (including NPISH)",12908.5250817355,14548.1496257799,15614.0616379268,13741.8506422533,15055.0305037409
"          Haiti","    General government final consumption expenditure",1100.9568012963,1208.0189319404,1303.3913549311,1022.9694826322,1133.752738446
"          Honduras","  Final consumption expenditure",19765.2834030225,21008.802164966,22640.3987602045,23950.721911183,23011.6975632622
"          Honduras","    Household consumption expenditure (including NPISH)",16700.0745731778,17885.7750502935,19400.3376654147,20566.3422756594,19443.6670401975
"          Honduras","    General government final consumption expenditure",3065.2088298447,3123.0271146725,3240.0610947898,3384.3796355236,3568.0305230647
"          Hungary","  Final consumption expenditure",90112.178978652,100612.0855095349,110714.0908053562,113180.296566435,110323.3498198031
"          Hungary","    Household consumption expenditure (including NPISH)",64440.2358596683,71713.6973156809,79097.76533211611,80739.32085598291,77425.3931319602
"          Hungary","    General government final consumption expenditure",25671.9431189837,28898.388193854,31616.3254732401,32440.9757104521,32897.9566878429
"          Iceland","  Final consumption expenditure",15029.5224345564,18242.8047609981,19543.6719050891,18462.4383180473,17190.3234347982
"          Iceland","    Household consumption expenditure (including NPISH)",10245.0666001865,12387.823350945,13203.5642209062,12393.6944538957,11143.1784153773
"          Iceland","    General government final consumption expenditure",4784.45583437,5854.9814100531,6340.1076841829,6068.7438641516,6047.1450194209
"          India","  Final consumption expenditure",1594339.066917459,1823707.896953406,1938613.758089493,2072428.475316623,1883860.779355412
"          India","    Household consumption expenditure (including NPISH)",1358212.389300912,1541141.162415843,1640705.60856537,1747944.393650346,1591747.190182003
"          India","    General government final consumption expenditure",236126.6776165471,282566.7345375627,297908.1495241229,324484.0816662777,292113.589173409
"          Indonesia","  Final consumption expenditure",627662.3726493294,674331.6851519806,687910.9626981505,746887.994467165,722454.1698800072
"          Indonesia","    Household consumption expenditure (including NPISH)",538874.8671300319,581701.4549556767,593885.231681157,648299.6646015564,624136.6338278799
"          Indonesia","    General government final consumption expenditure",88787.50551929729,92630.23019630399,94025.7310169931,98588.3298656055,98317.5360521306
"          Indonesia (...2002)","  Final consumption expenditure","_","_","_","_","_"
"          Indonesia (...2002)","    Household consumption expenditure (including NPISH)","_","_","_","_","_"
"          Indonesia (...2002)","    General government final consumption expenditure","_","_","_","_","_"
"          Iran (Islamic Republic of)","  Final consumption expenditure",311432.1566130215,327302.9339233331,337561.3569272546,422546.7618253524,590225.0179763024
"          Iran (Islamic Republic of)","    Household consumption expenditure (including NPISH)",237881.0024847908,246395.4572477499,254359.2323269562,319748.8545854572,445235.0208817358
"          Iran (Islamic Republic of)","    General government final consumption expenditure",73551.1541282305,80907.4766755834,83202.1246002978,102797.9072398955,144989.9970945657
"          Iraq","  Final consumption expenditure",132296.5834247191,135440.8279771259,145567.5789902,157849.0021305017,126219.3326670671
"          Iraq","    Household consumption expenditure (including NPISH)",99954.6720233012,102849.5599169679,106664.2883595595,108896.1042495558,91803.1773250218
"          Iraq","    General government final consumption expenditure",32341.9114014179,32591.2680601579,38903.2906306405,48952.8978809459,34416.1553420461
"          Ireland","  Final consumption expenditure",138863.5877552906,147411.4861645103,163151.1335419191,164507.4715703692,160561.0698478191
"          Ireland","    Household consumption expenditure (including NPISH)",100836.632136938,106093.7281079598,117314.692635584,117083.3148318073,106702.3102999466
"          Ireland","    General government final consumption expenditure",38026.9556183526,41317.7580576801,45836.4409075161,47424.1567396814,53858.7595490147
"          Israel","  Final consumption expenditure",246289.9210185995,273482.0098864331,288672.5437571634,304400.2849442673,298137.2197608039
"          Israel","    Household consumption expenditure (including NPISH)",175136.0649036165,193914.6493691262,203652.2421185389,214896.5157269166,201535.5044784634
"          Israel","    General government final consumption expenditure",71153.85611498301,79567.36051730689,85020.3016386245,89503.7692173507,96601.71528234051
"          Italy","  Final consumption expenditure",1484708.457118386,1551440.413746356,1654069.686476077,1577809.987502743,1486910.437751911
"          Italy","    Household consumption expenditure (including NPISH)",1127808.608844219,1182032.40967812,1259094.726854117,1203222.621777253,1092425.598819614
"          Italy","    General government final consumption expenditure",356899.8482741667,369408.0040682359,394974.9596219605,374587.3657254896,394484.8389322968
"          Jamaica","  Final consumption expenditure",12886.2019128058,13576.4667680613,14085.1442796314,14211.1750628116,12399.321412203
"          Jamaica","    Household consumption expenditure (including NPISH)",10937.9394897351,11594.6113348184,11971.2451615546,12061.0160614871,10523.2987066174
"          Jamaica","    General government final consumption expenditure",1948.2624230628,1981.8554332351,2113.8991180768,2150.159001317,1876.0227055857
"          Japan","  Final consumption expenditure",3720672.027547258,3650076.538704889,3748650.441602349,3824312.243825524,3767179.336851469
"          Japan","    Household consumption expenditure (including NPISH)",2737086.702090038,2692912.46972229,2762397.368199812,2803594.502142039,2700733.581810955
"          Japan","    General government final consumption expenditure",983585.3254572197,957164.0689825999,986253.0734025374,1020717.741683484,1066445.755040513
"          Jordan","  Final consumption expenditure",38549.0883915493,40219.7183098592,40446.4788732394,40167.0461943662,41016.5445873239
"          Jordan","    Household consumption expenditure (including NPISH)",31666.8962957747,32966.1971830986,33108.4507042254,32696.8632619718,33530.4995422535
"          Jordan","    General government final consumption expenditure",6882.1920943662,7253.5211267606,7338.0281690141,7470.1829309859,7486.0450450704
"          Kazakhstan","  Final consumption expenditure",90844.1620879121,105294.3638422773,108355.8892485623,111563.6675079065,112381.8420967665
"          Kazakhstan","    Household consumption expenditure (including NPISH)",74877.5219195698,87719.80302627321,93432.6497714236,94973.526639391,90582.4517701759
"          Kazakhstan","    General government final consumption expenditure",15966.6401683423,17574.5608160041,14923.2394771387,16590.1408685155,21799.3903265906
"          Kenya","  Final consumption expenditure",66598.2640293494,74035.69152319311,82477.0382734343,90285.9326767973,89139.2790721675
"          Kenya","    Household consumption expenditure (including NPISH)",57164.247496561,63916.512259072,71091.1786673251,77917.1824018059,76271.48234996189
"          Kenya","    General government final consumption expenditure",9434.016532788401,10119.1792641211,11385.8596061093,12368.7502749914,12867.7967222057
"          Kiribati","  Final consumption expenditure",275.1967988732,293.5442100991,298.8855055274,291.6225912822,273.8178713294
"          Kiribati","    Household consumption expenditure (including NPISH)",152.6152698826,168.9021872581,152.1926265673,152.3111277326,154.3374473727
"          Kiribati","    General government final consumption expenditure",122.5815282472,124.642022841,146.6928789601,139.3114628544,119.4804232685
"          Korea, Dem. People's Rep. of","  Final consumption expenditure",17670.4075519337,18279.6790872673,18408.6074266281,17191.8625188413,16682.3239455202
"          Korea, Dem. People's Rep. of","    Household consumption expenditure (including NPISH)","..","..","..","..",".."
"          Korea, Dem. People's Rep. of","    General government final consumption expenditure","..","..","..","..",".."
"          Korea, Republic of","  Final consumption expenditure",948007.8450104675,1022480.560200378,1105138.804651279,1085026.331807685,1056178.7563395
"          Korea, Republic of","    Household consumption expenditure (including NPISH)",719390.5094558625,772091.6402500907,828285.7551740822,803032.7589175269,760378.8694496106
"          Korea, Republic of","    General government final consumption expenditure",228617.335554605,250388.9199502872,276853.0494771968,281993.5728901584,295799.8868898894
"          Kuwait","  Final consumption expenditure",77606.5220799548,81725.6494160716,86814.2814021024,90673.4249318691,69612.3000566071
"          Kuwait","    Household consumption expenditure (including NPISH)",49483.0628792129,52252.0805260793,54952.6383961384,56323.4659391827,43938.2772242693
"          Kuwait","    General government final consumption expenditure",28123.4592007419,29473.5688899923,31861.643005964,34349.9589926864,25674.0228323378
"          Kyrgyzstan","  Final consumption expenditure",6829.0092181598,7642.0598870421,8242.6098149876,8228.418902614099,7135.6979776432
"          Kyrgyzstan","    Household consumption expenditure (including NPISH)",5641.2038885783,6322.5332883984,6822.4856851953,6773.9935326753,5776.1067024807
"          Kyrgyzstan","    General government final consumption expenditure",1187.8053295815,1319.5265986438,1420.1241297923,1454.4253699388,1359.5912751625
"          Lao People's Dem. Rep.","  Final consumption expenditure",12591.6798875613,13333.2415528973,14761.6374576902,14938.6026052658,15213.7989069358
"          Lao People's Dem. Rep.","    Household consumption expenditure (including NPISH)",10383.4756140331,11131.6468896835,12223.3669728246,12386.2072388993,12637.2425153986
"          Lao People's Dem. Rep.","    General government final consumption expenditure",2208.2042735281,2201.5946632138,2538.2704848655,2552.3953663665,2576.5563915372
"          Latvia","  Final consumption expenditure",22030.5554333433,23966.1500090259,26659.4646672957,26572.0350364235,25776.7402701339
"          Latvia","    Household consumption expenditure (including NPISH)",16940.6580856236,18390.5791908447,20397.7320843247,19950.3959262353,18957.023109253
"          Latvia","    General government final consumption expenditure",5089.8973477197,5575.5708181812,6261.732582971,6621.6391101882,6819.717160881
"          Lebanon","  Final consumption expenditure",52179.9006289798,55011.5883420497,58534.1017358766,57848.5302911151,70855.4042012438
"          Lebanon","    Household consumption expenditure (including NPISH)",45540.5883612298,47989.2260489685,50118.0668038793,49154.763886136,60895.0840885884
"          Lebanon","    General government final consumption expenditure",6639.3122677499,7022.3622930819,8416.034931998,8693.7664049791,9960.3201126561
"          Lesotho","  Final consumption expenditure",2469.4062968546,2977.6916763794,3028.1787671982,2926.1804931036,2654.7730913017
"          Lesotho","    Household consumption expenditure (including NPISH)",1631.5818459627,2063.0485970696,2055.025621222,2021.5530352195,1884.254397207
"          Lesotho","    General government final consumption expenditure",837.8244508919,914.6430793846999,973.1531459762,904.6274578841,770.5186940947
"          Liberia","  Final consumption expenditure",2358,2476,2414.180391,2133.046877,2018.44941
"          Liberia","    Household consumption expenditure (including NPISH)",1701,1815,1741.125886,1382.580176,1325.580652
"          Liberia","    General government final consumption expenditure",657,661,673.054506,750.4667009999999,692.868758
"          Libya","  Final consumption expenditure",48885.611228567,53084.8224357782,53067.240704779,52834.1047323731,23148.0682758185
"          Libya","    Household consumption expenditure (including NPISH)",24823.5000124911,26312.3016129836,26136.4768643922,25265.6522135193,11302.5755339616
"          Libya","    General government final consumption expenditure",24062.1112160758,26772.5208227946,26930.7638403868,27568.452519569,11845.4927418568
"          Lithuania","  Final consumption expenditure",34444.9447120487,37491.519980353,41832.91381024,42212.4149183058,43679.2045512888
"          Lithuania","    Household consumption expenditure (including NPISH)",27132.3439119136,29707.4710384624,33033.3666715168,32964.9711016313,33208.960094439
"          Lithuania","    General government final consumption expenditure",7312.6008001351,7784.0489418906,8799.547138723099,9247.4438166745,10470.2444568498
"          Luxembourg","  Final consumption expenditure",30035.4722515727,32467.9068662706,35783.0669044635,35599.7573521098,35953.2884149013
"          Luxembourg","    Household consumption expenditure (including NPISH)",20290.0821360641,21809.8111903353,23848.1634852086,23547.0581845019,22508.0182940919
"          Luxembourg","    General government final consumption expenditure",9745.390115508601,10658.0956759353,11934.9034192549,12052.6991676078,13445.2701208094
"          Madagascar","  Final consumption expenditure",10223.4078694137,11559.8118349221,11781.8015832682,12130.4116573682,12288.3139881688
"          Madagascar","    Household consumption expenditure (including NPISH)",8474.399462199001,9435.451849864099,9909.982253205701,9999.744207825999,9896.2462049836
"          Madagascar","    General government final consumption expenditure",1749.0084072151,2124.359985058,1871.8193300625,2130.6674495422,2392.0677831852
"          Malawi","  Final consumption expenditure",6983.6638584536,8543.8139251992,9431.406197108299,10525.1647753965,13617.0719954285
"          Malawi","    Household consumption expenditure (including NPISH)",6290.7326121169,7696.0818820125,8495.605708519801,9480.839662742401,12265.9624832147
"          Malawi","    General government final consumption expenditure",692.9312463367,847.732043188,935.8004885885,1044.3251126541,1351.1095122124
"          Malaysia","  Final consumption expenditure",202903.320227489,215667.797185292,248885.2584392029,260808.9709599617,248731.9757298855
"          Malaysia","    Household consumption expenditure (including NPISH)",165050.8956659986,176760.1263762142,206024.0093282468,218159.7367416554,204951.3311942652
"          Malaysia","    General government final consumption expenditure",37852.4245614904,38907.6705765436,42861.249110956,42649.2342183063,43780.6445356203
"          Maldives","  Final consumption expenditure",2707.1165774856,2936.7436550401,3277.3514667509,3466.8075199016,2599.3049004542
"          Maldives","    Household consumption expenditure (including NPISH)",1928.1357869014,2236.6434397827,2493.7598522237,2595.8139614819,1967.9127303603
"          Maldives","    General government final consumption expenditure",778.9807905191,700.1002152575001,783.5916145272,870.9935584198,631.3921700938
"          Mali","  Final consumption expenditure",13032.2777977368,14144.2995467278,15473.3299370362,15503.2254760617,16079.2189170298
"          Mali","    Household consumption expenditure (including NPISH)",10754.3631683649,11657.4740667435,12762.9507637322,12782.776627589,13267.7122116853
"          Mali","    General government final consumption expenditure",2277.9146293719,2486.8254799844,2710.3791733058,2720.4488484727,2811.5067053445
"          Malta","  Final consumption expenditure",7486.2135228573,8075.2999537647,9374.2988033725,9700.5824698039,9713.9210281712
"          Malta","    Household consumption expenditure (including NPISH)",5640.2675541608,6113.7215589412,7010.2640656471,7081.2360117647,6582.4761758755
"          Malta","    General government final consumption expenditure",1845.9459686965,1961.5783948235,2364.0347377255,2619.3464580392,3131.4448522957
"          Marshall Islands","  Final consumption expenditure",258.008307,277.062084,290.41553,313.657097,283.514669
"          Marshall Islands","    Household consumption expenditure (including NPISH)",147.519018,161.940998,166.096065,176.441536,161.652494
"          Marshall Islands","    General government final consumption expenditure",110.489288,115.121086,124.319466,137.215561,121.862175
"          Mauritania","  Final consumption expenditure",4736.6945334579,4889.6257097825,5134.3479968047,5267.8478290218,5520.1436757927
"          Mauritania","    Household consumption expenditure (including NPISH)",3876.67159361,3979.6821198837,4225.7059107,4348.5342533512,4506.944663652
"          Mauritania","    General government final consumption expenditure",860.0229398479,909.9435898988,908.6420861047,919.3135756706,1013.1990121406
"          Mauritius","  Final consumption expenditure",10887.3240163132,11932.8942722516,12912.4827424638,12808.9922482077,10021.1621744346
"          Mauritius","    Household consumption expenditure (including NPISH)",8998.088171092,9922.6225533615,10741.2968237293,10657.1616102341,8008.4767300798
"          Mauritius","    General government final consumption expenditure",1889.2358452211,2010.2717188901,2171.1859187345,2151.8306379736,2012.6854443548
"          Mexico","  Final consumption expenditure",836184.0762749452,890457.8950696142,933041.3513236125,967399.786558093,821518.745299665
"          Mexico","    Household consumption expenditure (including NPISH)",706652.6051542036,755831.7636015066,791605.0216665405,823277.4959725508,684218.2809966217
"          Mexico","    General government final consumption expenditure",129531.4711207417,134626.1314681076,141436.3296570721,144122.2905855423,137300.4643030434
"          Micronesia (Federated States of)","  Final consumption expenditure",381.61072,408.880403,412.628523,447.540814,434.567439
"          Micronesia (Federated States of)","    Household consumption expenditure (including NPISH)",225.188108,241.279921,243.491683,264.093391,256.437815
"          Micronesia (Federated States of)","    General government final consumption expenditure",156.422612,167.600482,169.13684,183.447423,178.129623
"          Moldova, Republic of","  Final consumption expenditure",8155.156366187,9733.7668633786,11454.4694833304,11902.3139198702,11817.8448667192
"          Moldova, Republic of","    Household consumption expenditure (including NPISH)",6954.6432166951,8280.0539093918,9713.958907583399,10083.3343918182,9832.1003159475
"          Moldova, Republic of","    General government final consumption expenditure",1200.5131494918,1453.7129540409,1740.5105758066,1818.9795281089,1985.7445507717
"          Mongolia","  Final consumption expenditure",7771.9555921852,7571.334805945,8647.5854071218,9345.814942770299,9465.884981207501
"          Mongolia","    Household consumption expenditure (including NPISH)",6134.9254677007,6116.2054275995,7117.9051658064,7650.2982134079,7532.0458396856
"          Mongolia","    General government final consumption expenditure",1637.0301244845,1455.1293783451,1529.6802413154,1695.5167293623,1933.8391415219
"          Montenegro","  Final consumption expenditure",4215.1016948196,4527.4232509412,5063.3424607843,4942.1441184314,4891.7974954086
"          Montenegro","    Household consumption expenditure (including NPISH)",3357.2810460156,3632.4898229412,4044.2968142745,3955.7751278431,3810.7088782879
"          Montenegro","    General government final consumption expenditure",857.820648804,894.9334280000001,1019.0456465098,986.3689905882,1081.0886171206
"          Montserrat","  Final consumption expenditure",89.20795814810001,87.0708211111,90.1679355556,94.0601355556,97.1789522222
"          Montserrat","    Household consumption expenditure (including NPISH)",54.3288311111,53.3777655556,55.2240544444,57.5191788889,59.5064844444
"          Montserrat","    General government final consumption expenditure",34.879127037,33.6930559259,34.9438807407,36.540957037,37.6724677778
"          Morocco","  Final consumption expenditure",80341.7716718382,84376.3081028501,90957.0300551168,91880.2129521733,90837.9350251961
"          Morocco","    Household consumption expenditure (including NPISH)",60393.3160884064,63512.9110696061,68502.76836601971,68695.7234365481,66888.9346587418
"          Morocco","    General government final consumption expenditure",19948.4555834318,20863.397033244,22454.2616890972,23184.4895156252,23949.0003664543
"          Mozambique","  Final consumption expenditure",10975.5297707367,11814.4748019436,12977.3041357957,13451.4851743878,12029.6087030159
"          Mozambique","    Household consumption expenditure (including NPISH)",7828.5977214751,8556.055289964501,9735.438217110899,9949.4494153748,9092.145479622801
"          Mozambique","    General government final consumption expenditure",3146.9320492775,3258.4195119948,3241.8659187014,3502.035759013,2937.4632233931
"          Myanmar","  Final consumption expenditure",50112.0814505488,50622.816867031,51915.0728541442,54402.7342264733,48906.9954998382
"          Myanmar","    Household consumption expenditure (including NPISH)",36514.1883573957,37692.9682319645,40758.4463905628,40953.1720762828,37209.4350923484
"          Myanmar","    General government final consumption expenditure",13597.8930931531,12929.8486350665,11156.6264635814,13449.5621501911,11697.5604074897
"          Namibia","  Final consumption expenditure",10927.574566483,12399.2239786974,13017.1762215716,12014.0854136348,10208.1291487716
"          Namibia","    Household consumption expenditure (including NPISH)",8033.985861357,9099.519427622799,9541.117599757699,8787.4032240004,7381.1297765733
"          Namibia","    General government final consumption expenditure",2893.5887051939,3299.7045511496,3476.058621814,3226.6821896344,2826.9993721983
"          Nauru","  Final consumption expenditure",179.7933684243,198.22014488,207.846919751,215.1077137915,202.2407602036
"          Nauru","    Household consumption expenditure (including NPISH)",98.6471880055,112.9543258862,104.5315393839,111.0973221796,112.8108401334
"          Nauru","    General government final consumption expenditure",81.1461804188,85.2658189938,103.3153803672,104.0103916119,89.4299207584
"          Nepal","  Final consumption expenditure",23403.6416359901,25619.9145110517,27038.2357666187,29024.0438546796,30979.6694946373
"          Nepal","    Household consumption expenditure (including NPISH)",21478.5360668615,23111.8000649017,24480.1579378657,26242.4570178817,28000.1040703444
"          Nepal","    General government final consumption expenditure",1925.1055691286,2508.11444615,2558.077828753,2781.5868367979,2979.5654242929
"          Netherlands","  Final consumption expenditure",542991.0684034333,572468.1955388244,626107.8334172544,619831.7660627442,620050.295312064
"          Netherlands","    Household consumption expenditure (including NPISH)",349589.2916423862,369700.5914929418,403366.8223686271,395786.8545176464,382892.6906225692
"          Netherlands","    General government final consumption expenditure",193401.7767610471,202767.6040458827,222741.0110486273,224044.9115450977,237157.6046894948
"          Netherlands Antilles","  Final consumption expenditure","_","_","_","_","_"
"          Netherlands Antilles","    Household consumption expenditure (including NPISH)","_","_","_","_","_"
"          Netherlands Antilles","    General government final consumption expenditure","_","_","_","_","_"
"          New Caledonia","  Final consumption expenditure",7869.69426139,8175.9900886748,8815.313537796001,8459.9557349802,8682.2216780529
"          New Caledonia","    Household consumption expenditure (including NPISH)",5723.154084215,5950.0409853782,6414.1159670378,6154.8641715083,6317.4228605744
"          New Caledonia","    General government final consumption expenditure",2146.5709110229,2225.9758456868,2401.1975707582,2305.0915634719,2364.7988174785
"          New Zealand","  Final consumption expenditure",143744.1046970989,155698.2396722111,161207.8578800795,162239.3148315902,165672.7209843989
"          New Zealand","    Household consumption expenditure (including NPISH)",109476.6885365726,118686.2377064228,122584.3130697514,121904.6364160422,121985.0092138757
"          New Zealand","    General government final consumption expenditure",34267.4161605263,37012.0019657883,38623.5448103281,40334.678415548,43687.7117705233
"          Nicaragua","  Final consumption expenditure",11273.1554957942,11550.8160071325,11117.7864560681,10949.7689808674,10810.4498786931
"          Nicaragua","    Household consumption expenditure (including NPISH)",9351.8758505478,9564.2073265579,9189.7134461234,8976.3530088683,8798.2586972589
"          Nicaragua","    General government final consumption expenditure",1921.2796452464,1986.6086805746,1928.0730099447,1973.415971969,2012.1911814342
"          Niger","  Final consumption expenditure",8797.476546768101,9726.033625029801,10913.8761759442,10849.4779721184,12000.6482754979
"          Niger","    Household consumption expenditure (including NPISH)",7209.5705666671,7996.6011566467,8965.8285654917,8831.6045298095,9835.4282778124
"          Niger","    General government final consumption expenditure",1587.905980101,1729.432468383,1948.0476104544,2017.873442309,2165.2199976855
"          Nigeria","  Final consumption expenditure",350182.546361129,317618.2031408037,346669.2407210636,376649.8522777582,336790.7293103445
"          Nigeria","    Household consumption expenditure (including NPISH)",330039.8507894622,301072.9456556125,323033.6931195437,348709.9138758207,299356.4729902014
"          Nigeria","    General government final consumption expenditure",21787.4491578611,16545.2574851912,23635.5476015199,27939.9384019375,37434.2563201431
"          North Macedonia","  Final consumption expenditure",8788.5868775818,9223.4892565705,10215.1897701737,10116.9788815445,10319.1021592198
"          North Macedonia","    Household consumption expenditure (including NPISH)",7141.818291108,7536.4021500353,8352.1234227,8355.906433812799,8259.7568056486
"          North Macedonia","    General government final consumption expenditure",1646.7685864739,1687.0871065351,1863.0663474737,1761.0724477316,2059.3453535527
"          Norway","  Final consumption expenditure",257862.2186810971,273553.9391497077,289331.4478942514,278552.2727272727,255096.8050269936
"          Norway","    Household consumption expenditure (including NPISH)",168022.6662233646,177915.4140640741,187750.0153704273,179908.4090909091,158922.5241171786
"          Norway","    General government final consumption expenditure",89839.5524577325,95638.52508563369,101581.4325238242,98643.8636363636,96174.28090981511
"          Oman","  Final consumption expenditure",46743.6948452536,49177.3990143043,49413.0046137841,49793.7034850455,45823.2985383615
"          Oman","    Household consumption expenditure (including NPISH)",27116.3740936281,29384.7692015605,29685.5452457737,31038.9669336801,27824.5323745124
"          Oman","    General government final consumption expenditure",19627.3207516255,19792.6298127438,19727.4593680104,18754.7365539662,17998.7661638492
"          Pacific Islands, Trust Territory","  Final consumption expenditure","_","_","_","_","_"
"          Pacific Islands, Trust Territory","    Household consumption expenditure (including NPISH)","_","_","_","_","_"
"          Pacific Islands, Trust Territory","    General government final consumption expenditure","_","_","_","_","_"
"          Pakistan","  Final consumption expenditure",253456.2163153351,282088.1090667495,266410.1659373475,239394.0170109526,236296.1605824519
"          Pakistan","    Household consumption expenditure (including NPISH)",222073.5904700211,247959.8603519182,233125.9140040503,209689.5363541857,202453.4056908463
"          Pakistan","    General government final consumption expenditure",31382.625845314,34128.2487148313,33284.2519332971,29704.4806567668,33842.7548916056
"          Palau","  Final consumption expenditure",282.932714,284.99772,290.564145,282.966311,285.810499
"          Palau","    Household consumption expenditure (including NPISH)",196.819516,197.653329,197.621724,189.326205,194.611606
"          Palau","    General government final consumption expenditure",86.113197,87.344391,92.942421,93.640106,91.198893
"          Panama","  Final consumption expenditure",36460.508763,38621.340792,40809.817933,42340.542049,33234.297294
"          Panama","    Household consumption expenditure (including NPISH)",30107.257708,31518.046227,33234.781157,34357.78999,27051.348523
"          Panama","    General government final consumption expenditure",6353.251055,7103.294565,7575.036776,7982.752059,6182.948771
"          Panama, excluding Canal Zone","  Final consumption expenditure","_","_","_","_","_"
"          Panama, excluding Canal Zone","    Household consumption expenditure (including NPISH)","_","_","_","_","_"
"          Panama, excluding Canal Zone","    General government final consumption expenditure","_","_","_","_","_"
"          Papua New Guinea","  Final consumption expenditure",16139.2329372869,16989.3561926477,18716.5861370029,19628.8323093886,19037.0887137374
"          Papua New Guinea","    Household consumption expenditure (including NPISH)",12165.6092384518,12095.548762621,13361.1922237116,14074.9241072742,13686.9075672388
"          Papua New Guinea","    General government final consumption expenditure",3973.6236988351,4893.8074300267,5355.3939129863,5553.9082021143,5350.1811467883
"          Paraguay","  Final consumption expenditure",26580.5164330643,28858.1107152324,30513.4326423776,29289.3448547028,27058.9433305464
"          Paraguay","    Household consumption expenditure (including NPISH)",22479.6471859219,24526.4348031226,25879.3667108108,24758.6820146351,22515.0610322715
"          Paraguay","    General government final consumption expenditure",4100.8692471424,4331.6759121098,4634.0659315668,4530.6628400679,4543.882298275
"          Peru","  Final consumption expenditure",150000.8183314382,163239.9566802851,171123.5131452325,178102.6986650209,164480.7291199886
"          Peru","    Household consumption expenditure (including NPISH)",124739.9459600506,135361.0053343161,142013.5145265189,147854.5812789905,131963.7366717318
