"MEASURE - US dollars at current prices in millions"

,YEAR,"2016","2017","2018"
"          Korea, Dem. People's Rep. of","  Final consumption expenditure",17670.4075519338,18279.6790872674,18408.607426628
"          Korea, Dem. People's Rep. of","    Household consumption expenditure (including NPISH)","..","..",".."
"          Korea, Dem. People's Rep. of","    General government final consumption expenditure","..","..",".."
"          Korea, Republic of","  Final consumption expenditure",948007.8450104675,1022480.560200378,1105138.804651279
"          Korea, Republic of","    Household consumption expenditure (including NPISH)",719390.5094558625,772091.6402500907,828285.7551740822
"          Korea, Republic of","    General government final consumption expenditure",228617.335554605,250388.9199502872,276853.0494771968
"          Kuwait","  Final consumption expenditure",77606.40501733639,81725.5352607144,86987.5262606231
"          Kuwait","    Household consumption expenditure (including NPISH)",49482.9531576244,52252.081950178,55116.9971367661
"          Kuwait","    General government final consumption expenditure",28123.451859712,29473.4533105364,31870.5291205452
"          Kyrgyzstan","  Final consumption expenditure",6829.0092181598,7642.0598870421,8242.6098149876
"          Kyrgyzstan","    Household consumption expenditure (including NPISH)",5641.2038885783,6322.5332883984,6822.4856851953
"          Kyrgyzstan","    General government final consumption expenditure",1187.8053295815,1319.5265986438,1420.1241297923
"          Lao People's Dem. Rep.","  Final consumption expenditure",12591.6798875613,13333.2415528973,14761.6374576902
"          Lao People's Dem. Rep.","    Household consumption expenditure (including NPISH)",10383.4756140331,11131.6468896835,12223.3669728246
"          Lao People's Dem. Rep.","    General government final consumption expenditure",2208.2042735281,2201.5946632138,2538.2704848655
"          Latvia","  Final consumption expenditure",21999.7347283303,23911.1029046589,26509.831826131
"          Latvia","    Household consumption expenditure (including NPISH)",16961.7490802216,18385.0494014859,20311.5720051984
"          Latvia","    General government final consumption expenditure",5037.9856481087,5526.053503173,6198.2598209325
"          Lebanon","  Final consumption expenditure",51995.7048419542,54827.4256525837,58214.0300206799
"          Lebanon","    Household consumption expenditure (including NPISH)",45363.3690297645,47821.061675943,49796.3910105406
"          Lebanon","    General government final consumption expenditure",6632.3358121897,7006.3639766415,8417.639010139301
"          Lesotho","  Final consumption expenditure",2552.7117809042,2972.1622569707,3060.1416050148
"          Lesotho","    Household consumption expenditure (including NPISH)",1793.1131697,2097.0991674454,2146.9995756591
"          Lesotho","    General government final consumption expenditure",759.5986112042,875.0630895253,913.1420293557
"          Liberia","  Final consumption expenditure",2358,2476,2414.180391
"          Liberia","    Household consumption expenditure (including NPISH)",1701,1815,1741.125886
"          Liberia","    General government final consumption expenditure",657,661,673.054506
"          Libya","  Final consumption expenditure",17693.1969177356,17324.6870209111,23916.4485267039
"          Libya","    Household consumption expenditure (including NPISH)",8697.443074294301,6954.0820111151,9877.8678229016
"          Libya","    General government final consumption expenditure",8995.7538434413,10370.6050097959,14038.5807038023
"          Lithuania","  Final consumption expenditure",34444.9447120487,37484.7283371201,41835.4953767984
"          Lithuania","    Household consumption expenditure (including NPISH)",27132.3439119136,29700.6793952295,33045.2175500227
"          Lithuania","    General government final consumption expenditure",7312.6008001351,7784.0489418906,8790.2778267757
"          Luxembourg","  Final consumption expenditure",27668.5033873744,29677.8406308848,32923.2214062964
"          Luxembourg","    Household consumption expenditure (including NPISH)",18008.1873996537,19134.1477676906,21108.3726415537
"          Luxembourg","    General government final consumption expenditure",9660.3159877207,10543.6928631941,11814.8487647427
"          Madagascar","  Final consumption expenditure",10223.4078694137,11559.8118349221,11781.8015832682
"          Madagascar","    Household consumption expenditure (including NPISH)",8474.399462199001,9435.451849864099,9909.982253205701
"          Madagascar","    General government final consumption expenditure",1749.0084072151,2124.359985058,1871.8193300625
"          Malawi","  Final consumption expenditure",5205.4825753344,6063.9981831316,6856.4489171306
"          Malawi","    Household consumption expenditure (including NPISH)",4688.9855614724,5462.3177609372,6176.140158019101
"          Malawi","    General government final consumption expenditure",516.4970138634,601.6804221958,680.3087591115
"          Malaysia","  Final consumption expenditure",202903.320227489,215667.655106836,248885.4053985275
"          Malaysia","    Household consumption expenditure (including NPISH)",165050.8956659986,176760.0163874913,206024.0864013497
"          Malaysia","    General government final consumption expenditure",37852.4245614904,38907.6387193448,42861.3189971778
"          Maldives","  Final consumption expenditure",2707.1119442795,2936.7058215969,3277.3395700622
"          Maldives","    Household consumption expenditure (including NPISH)",1928.1112665342,2236.6328999548,2493.7564687171
"          Maldives","    General government final consumption expenditure",779.0006777453,700.0729216421,783.5831013451
"          Mali","  Final consumption expenditure",13676.0279275874,14144.2995467278,15473.3299370362
"          Mali","    Household consumption expenditure (including NPISH)",11384.2530644357,11657.4740667435,12762.9507637322
"          Mali","    General government final consumption expenditure",2291.7748631534,2486.8254799844,2710.3791733058
"          Malta","  Final consumption expenditure",7173.5044352791,7635.0631992941,8795.2768072157
"          Malta","    Household consumption expenditure (including NPISH)",5328.7752334603,5679.5850828235,6447.3030508235
"          Malta","    General government final consumption expenditure",1844.7292018188,1955.4781164706,2347.9737563922
"          Marshall Islands","  Final consumption expenditure",252.373639,270.621651,287.412734
"          Marshall Islands","    Household consumption expenditure (including NPISH)",139.301179,152.038277,162.727294
"          Marshall Islands","    General government final consumption expenditure",113.072461,118.583374,124.68544
"          Mauritania","  Final consumption expenditure",4736.6945334579,4848.5176379091,5158.2282600799
"          Mauritania","    Household consumption expenditure (including NPISH)",3876.67159361,3982.9869014115,4222.9968750053
"          Mauritania","    General government final consumption expenditure",860.0229398479,865.5307364975,935.2313851027
"          Mauritius","  Final consumption expenditure",10887.3240163132,11932.8942722516,12912.4827424638
"          Mauritius","    Household consumption expenditure (including NPISH)",8998.088171092,9922.6225533615,10741.2968237293
"          Mauritius","    General government final consumption expenditure",1889.2358452211,2010.2717188901,2171.1859187345
"          Mexico","  Final consumption expenditure",836166.2024023908,890245.6280650324,933038.819826259
"          Mexico","    Household consumption expenditure (including NPISH)",706634.7312816491,755619.4965969248,790636.8466402015
"          Mexico","    General government final consumption expenditure",129531.4711207417,134626.1314681076,142401.9731860575
"          Micronesia (Federated States of)","  Final consumption expenditure",381.983106,428.503809,470.410529
"          Micronesia (Federated States of)","    Household consumption expenditure (including NPISH)",225.407852,252.859673,277.588786
"          Micronesia (Federated States of)","    General government final consumption expenditure",156.575253,175.644135,192.821741
"          Moldova, Republic of","  Final consumption expenditure",8155.156366187,9733.7668633786,11454.4694833304
"          Moldova, Republic of","    Household consumption expenditure (including NPISH)",6954.6432166951,8280.0539093918,9713.958907583399
"          Moldova, Republic of","    General government final consumption expenditure",1200.5131494918,1453.7129540409,1740.5105758066
"          Mongolia","  Final consumption expenditure",7771.9555921852,7571.334805945,8647.587137161299
"          Mongolia","    Household consumption expenditure (including NPISH)",6134.9254677007,6116.2054275995,7117.9056252023
"          Mongolia","    General government final consumption expenditure",1637.0301244845,1455.1293783451,1529.681511959
"          Montenegro","  Final consumption expenditure",4215.1016948196,4527.4232509412,5063.3424607843
"          Montenegro","    Household consumption expenditure (including NPISH)",3357.2810460156,3632.4898229412,4044.2968142745
"          Montenegro","    General government final consumption expenditure",857.820648804,894.9334280000001,1019.0456465098
"          Montserrat","  Final consumption expenditure",88.1007892593,81.1052377778,85.01058925930001
"          Montserrat","    Household consumption expenditure (including NPISH)",56.5148837037,51.55965,54.4766755556
"          Montserrat","    General government final consumption expenditure",31.5859055556,29.5455877778,30.5339140741
"          Morocco","  Final consumption expenditure",80341.7716718382,84376.3081028501,90957.0300551168
"          Morocco","    Household consumption expenditure (including NPISH)",60393.3160884064,63512.9110696061,68502.76836601971
"          Morocco","    General government final consumption expenditure",19948.4555834318,20863.397033244,22454.2616890972
"          Mozambique","  Final consumption expenditure",10975.5297707367,11814.4748019436,12977.3041357957
"          Mozambique","    Household consumption expenditure (including NPISH)",7828.5977214751,8556.055289964501,9735.438217110899
"          Mozambique","    General government final consumption expenditure",3146.9320492775,3258.4195119948,3241.8659187014
"          Myanmar","  Final consumption expenditure",50112.0814505488,50622.816867031,51832.7394205351
"          Myanmar","    Household consumption expenditure (including NPISH)",36514.1883573957,37692.9682319645,40693.8065344402
"          Myanmar","    General government final consumption expenditure",13597.8930931531,12929.8486350665,11138.9328860949
"          Namibia","  Final consumption expenditure",10944.9648119602,12303.5038501003,12844.5787756608
"          Namibia","    Household consumption expenditure (including NPISH)",8051.3761067662,9003.799299025801,9368.2589292557
"          Namibia","    General government final consumption expenditure",2893.5887051939,3299.7045511496,3476.3198464806
"          Nauru","  Final consumption expenditure",171.3905981576,184.746223305,186.0833934135
"          Nauru","    Household consumption expenditure (including NPISH)",123.7815745066,133.4272629591,134.3929935746
"          Nauru","    General government final consumption expenditure",47.609023651,51.3189595795,51.6904005861
"          Nepal","  Final consumption expenditure",20128.9151115036,22153.3464315544,23308.1214262716
"          Nepal","    Household consumption expenditure (including NPISH)",17710.4500981531,19284.2756143625,20055.3509703098
"          Nepal","    General government final consumption expenditure",2418.4650133505,2869.0708171918,3252.770455971
"          Netherlands","  Final consumption expenditure",542991.0684034333,572468.1955388244,626107.8334172544
"          Netherlands","    Household consumption expenditure (including NPISH)",349589.2916423862,369700.5914929418,403366.8223686271
"          Netherlands","    General government final consumption expenditure",193401.7767610471,202767.6040458827,222741.0110486273
"          Netherlands Antilles","  Final consumption expenditure","_","_","_"
"          Netherlands Antilles","    Household consumption expenditure (including NPISH)","_","_","_"
"          Netherlands Antilles","    General government final consumption expenditure","_","_","_"
"          New Caledonia","  Final consumption expenditure",7901.2739639277,8292.5609153563,8969.6673943933
"          New Caledonia","    Household consumption expenditure (including NPISH)",5752.5369504432,6043.8846108458,6539.4130400728
"          New Caledonia","    General government final consumption expenditure",2148.7370134845,2248.67630452,2430.2543543204
"          New Zealand","  Final consumption expenditure",142882.9989036042,154159.2406847104,157904.642191996
"          New Zealand","    Household consumption expenditure (including NPISH)",108615.5827430779,117274.4228457747,119490.7484821055
"          New Zealand","    General government final consumption expenditure",34267.4161605263,36884.8178389357,38413.8937098905
"          Nicaragua","  Final consumption expenditure",11273.1554957942,11550.8160071325,11163.6906326278
"          Nicaragua","    Household consumption expenditure (including NPISH)",9351.8758505478,9564.2073265579,9177.1452119035
"          Nicaragua","    General government final consumption expenditure",1921.2796452464,1986.6086805746,1986.5454207242
"          Niger","  Final consumption expenditure",8641.5110991741,9516.5320329475,10817.5720074394
"          Niger","    Household consumption expenditure (including NPISH)",7089.2949597739,7831.3048168778,8878.4850194586
"          Niger","    General government final consumption expenditure",1552.2161394002,1685.2272160697,1939.0869879808
"          Nigeria","  Final consumption expenditure",350182.546361129,317618.2031408037,346669.2407210636
"          Nigeria","    Household consumption expenditure (including NPISH)",330039.8507894622,301072.9456556125,323033.6931195437
"          Nigeria","    General government final consumption expenditure",21787.4491578611,16545.2574851912,23635.5476015199
"          North Macedonia","  Final consumption expenditure",8788.5868775818,9223.4892565705,10186.0382772472
"          North Macedonia","    Household consumption expenditure (including NPISH)",7141.818291108,7536.4021500353,8322.971929773499
"          North Macedonia","    General government final consumption expenditure",1646.7685864739,1687.0871065351,1863.0663474737
"          Norway","  Final consumption expenditure",257862.2186810971,273553.9391497077,290236.2127267138
"          Norway","    Household consumption expenditure (including NPISH)",168022.6662233646,177915.4140640741,188572.8865662465
"          Norway","    General government final consumption expenditure",89839.5524577325,95638.52508563369,101663.3261604673
"          Oman","  Final consumption expenditure",46743.6948452536,49177.3990143043,49413.0046137841
"          Oman","    Household consumption expenditure (including NPISH)",27116.3740936281,29384.7692015605,29685.5452457737
"          Oman","    General government final consumption expenditure",19627.3207516255,19792.6298127438,19727.4593680104
"          Pacific Islands, Trust Territory","  Final consumption expenditure","_","_","_"
"          Pacific Islands, Trust Territory","    Household consumption expenditure (including NPISH)","_","_","_"
"          Pacific Islands, Trust Territory","    General government final consumption expenditure","_","_","_"
"          Pakistan","  Final consumption expenditure",253456.2163153351,282088.1090667495,267736.2926792129
"          Pakistan","    Household consumption expenditure (including NPISH)",222073.5904700211,247959.8603519182,234452.0407459158
"          Pakistan","    General government final consumption expenditure",31382.625845314,34128.2487148313,33284.2519332971
"          Palau","  Final consumption expenditure",282.932714,284.99772,290.564145
"          Palau","    Household consumption expenditure (including NPISH)",196.819516,197.653329,197.621724
"          Palau","    General government final consumption expenditure",86.113197,87.344391,92.942421
"          Panama","  Final consumption expenditure",36460.508763,38621.340792,40809.817934
"          Panama","    Household consumption expenditure (including NPISH)",30107.257708,31518.046227,33234.781157
"          Panama","    General government final consumption expenditure",6353.251055,7103.294565,7575.036776
"          Panama, excluding Canal Zone","  Final consumption expenditure","_","_","_"
"          Panama, excluding Canal Zone","    Household consumption expenditure (including NPISH)","_","_","_"
"          Panama, excluding Canal Zone","    General government final consumption expenditure","_","_","_"
"          Papua New Guinea","  Final consumption expenditure",16139.2329372869,16989.3561926477,18716.5861370029
"          Papua New Guinea","    Household consumption expenditure (including NPISH)",12165.6092384518,12095.548762621,13361.1922237116
"          Papua New Guinea","    General government final consumption expenditure",3973.6236988351,4893.8074300267,5355.3939129863
"          Paraguay","  Final consumption expenditure",26835.7936559444,29149.6164584403,30714.136130498
"          Paraguay","    Household consumption expenditure (including NPISH)",22818.4744861898,24929.5644437127,26186.5629013588
"          Paraguay","    General government final consumption expenditure",4017.3191697547,4220.0520147277,4527.5732291392
"          Peru","  Final consumption expenditure",150000.8183314382,163239.9566802851,170660.4209677354
"          Peru","    Household consumption expenditure (including NPISH)",124739.9459600506,135361.0053343161,141550.4223490218
"          Peru","    General government final consumption expenditure",25260.8723713876,27878.951345969,29109.9986187136
"          Philippines","  Final consumption expenditure",258829.1832543531,265675.790298875,283762.9994173932
"          Philippines","    Household consumption expenditure (including NPISH)",224726.1166256718,230422.3268339132,244295.0782201569
"          Philippines","    General government final consumption expenditure",34103.0666286602,35253.4634649618,39467.9211972173
"          Poland","  Final consumption expenditure",361720.6119196679,401833.8331275361,447440.6907149413
"          Poland","    Household consumption expenditure (including NPISH)",277033.2294867841,308725.348385959,343265.5754650371
"          Poland","    General government final consumption expenditure",84687.3824328838,93108.48474157709,104175.1152499042
"          Portugal","  Final consumption expenditure",171258.7754759254,180990.7931020744,196871.7773677489
"          Portugal","    Household consumption expenditure (including NPISH)",134977.4430520806,142951.0207718814,155733.969839116
"          Portugal","    General government final consumption expenditure",36281.3324238448,38039.772330193,41137.8075286329
"          Qatar","  Final consumption expenditure",68660.09733461541,69461.7180085165,72600.5494505495
"          Qatar","    Household consumption expenditure (including NPISH)",39005.9680164835,41068.9203887363,42203.8461538462
"          Qatar","    General government final consumption expenditure",29654.1293181319,28392.7976197802,30396.7032967033
"          Romania","  Final consumption expenditure",146259.6170822539,166599.0347502256,193890.7216582027
"          Romania","    Household consumption expenditure (including NPISH)",117818.7237991223,133343.7165200832,153394.647712233
"          Romania","    General government final consumption expenditure",28440.8932831317,33255.3182301423,40496.0739459697
"          Russian Federation","  Final consumption expenditure",912008.0642690087,1114638.898338393,1114875.142384471
"          Russian Federation","    Household consumption expenditure (including NPISH)",675653.6847892061,825804.0261181189,825952.0377997009
"          Russian Federation","    General government final consumption expenditure",236354.3794798175,288834.8722202739,288923.1045847545
"          Rwanda","  Final consumption expenditure",8082.5502708979,8214.969436709,8762.115577078701
"          Rwanda","    Household consumption expenditure (including NPISH)",6771.6604579847,6825.9649425795,7341.8283205157
"          Rwanda","    General government final consumption expenditure",1310.8898129132,1389.0044941295,1420.2872565629
"          Saint Kitts and Nevis","  Final consumption expenditure",861.921147037,861.0125796296001,878.8071525926
"          Saint Kitts and Nevis","    Household consumption expenditure (including NPISH)",676.6508885185,670.6791355556001,685.3126174074
"          Saint Kitts and Nevis","    General government final consumption expenditure",185.2702585185,190.3334437037,193.4945351852
"          Saint Lucia","  Final consumption expenditure",1594.5879507407,1591.8994385185,1580.6556344444
"          Saint Lucia","    Household consumption expenditure (including NPISH)",1364.0426177778,1354.0767266667,1346.0983803704
"          Saint Lucia","    General government final consumption expenditure",230.545332963,237.8227118519,234.5572540741
"          Saint Vincent and the Grenadines","  Final consumption expenditure",785.1426325926,795.5004266667,825.7214011111
"          Saint Vincent and the Grenadines","    Household consumption expenditure (including NPISH)",630.1726503704,629.3342744444,654.6618714815
"          Saint Vincent and the Grenadines","    General government final consumption expenditure",154.9699822222,166.1661525926,171.0595296296
"          Samoa","  Final consumption expenditure",924.8686658895,927.7676983461,938.4188570173
"          Samoa","    Household consumption expenditure (including NPISH)",768.9677100569001,771.9884524221,780.7626525119
"          Samoa","    General government final consumption expenditure",155.9009558325,155.779245924,157.6562045053
"          San Marino","  Final consumption expenditure",854.5902256604001,873.9678795182,921.7637558681
"          San Marino","    Household consumption expenditure (including NPISH)",565.5725814098,570.27504267,600.438375906
"          San Marino","    General government final consumption expenditure",289.0176442506,303.6928368482,321.3253799621
"          Sao Tome and Principe","  Final consumption expenditure",321.6717015597,340.2655417698,428.601042462
"          Sao Tome and Principe","    Household consumption expenditure (including NPISH)",276.526198796,295.79157132,355.7705642764
"          Sao Tome and Principe","    General government final consumption expenditure",45.1455027637,44.4739704498,72.8304781856
"          Saudi Arabia","  Final consumption expenditure",442690.3310029333,451899.2605509334,491824.3246178667
"          Saudi Arabia","    Household consumption expenditure (including NPISH)",276121.7520602667,283638.4235586667,298197.4918770667
"          Saudi Arabia","    General government final consumption expenditure",166568.5789426667,168260.8369922667,193626.8327408
"          Senegal","  Final consumption expenditure",16303.2255422901,17643.3151035815,19254.4192843379
"          Senegal","    Household consumption expenditure (including NPISH)",13631.6258143131,14780.6496800248,16060.1168035614
"          Senegal","    General government final consumption expenditure",2671.599727977,2862.6654235567,3194.3024807765
"          Serbia","  Final consumption expenditure",42016.5081875993,45505.2972938241,51453.2800997392
"          Serbia","    Household consumption expenditure (including NPISH)",34562.0892903152,37400.1104771808,41963.7427968107
"          Serbia","    General government final consumption expenditure",7454.4188972841,8105.1868166432,9489.5373029285
"          Serbia and Montenegro","  Final consumption expenditure","_","_","_"
"          Serbia and Montenegro","    Household consumption expenditure (including NPISH)","_","_","_"
"          Serbia and Montenegro","    General government final consumption expenditure","_","_","_"
"          Seychelles","  Final consumption expenditure",1106.3162756039,1203.4511782266,1304.4087846291
"          Seychelles","    Household consumption expenditure (including NPISH)",796.8333231558,889.4108782524,941.6809621322
"          Seychelles","    General government final consumption expenditure",309.4827608437,314.0403154345,362.7278225688
"          Sierra Leone","  Final consumption expenditure",4210.5819203053,3870.0705943206,4368.3298838411
"          Sierra Leone","    Household consumption expenditure (including NPISH)",3753.5152453713,3480.8246897747,3990.8422376075
"          Sierra Leone","    General government final consumption expenditure",457.066674934,389.2459045459,377.4876462336
"          Singapore","  Final consumption expenditure",148996.0130315112,155494.54170212,167301.6971351958
"          Singapore","    Household consumption expenditure (including NPISH)",116237.9375943034,120625.1606712892,129792.4762604948
"          Singapore","    General government final consumption expenditure",32758.0754372078,34869.3810308308,37509.220874701
"          Sint Maarten (Dutch part)","  Final consumption expenditure",882.0670391061,931.0785251397,801.5530162011
"          Sint Maarten (Dutch part)","    Household consumption expenditure (including NPISH)",696.243203352,734.2379402235,631.3299815642
"          Sint Maarten (Dutch part)","    General government final consumption expenditure",185.8238357542,196.8405849162,170.2230346369
"          Slovakia","  Final consumption expenditure",66349.2967756599,71485.25445092841,79181.9937091105
"          Slovakia","    Household consumption expenditure (including NPISH)",49377.5303855794,53417.583327566,59448.7941750886
"          Slovakia","    General government final consumption expenditure",16971.7663900805,18067.6711233624,19733.1995340219
"          Slovenia","  Final consumption expenditure",32672.9903371873,34485.9715792801,38092.4258102941
"          Slovenia","    Household consumption expenditure (including NPISH)",24157.1796546375,25533.7859839906,28212.2238092392
"          Slovenia","    General government final consumption expenditure",8515.8117887016,8952.186724970599,9880.2020010549
"          Solomon Islands","  Final consumption expenditure",975.4515272522,1039.4288430463,1183.6152166085
"          Solomon Islands","    Household consumption expenditure (including NPISH)",639.45215999,686.5781971716,780.7039538202999
"          Solomon Islands","    General government final consumption expenditure",335.9993672622,352.8506458747,402.9112627882
"          Somalia","  Final consumption expenditure",1184.4975553891,1270.0216500554,1263.954811846
"          Somalia","    Household consumption expenditure (including NPISH)",1057.4827797971,1133.8359305948,1128.4162743238
"          Somalia","    General government final consumption expenditure",127.0147755919,136.1857194606,135.5385375221
"          South Africa","  Final consumption expenditure",237307.939576677,279323.4865754354,298942.3261528538
"          South Africa","    Household consumption expenditure (including NPISH)",175692.8099904298,206733.5852265672,220603.711324319
"          South Africa","    General government final consumption expenditure",61615.1295863152,72589.9013488682,78338.6148285348
"          South Sudan","  Final consumption expenditure",5562.2669072635,5918.5308967465,4944.8227830558
"          South Sudan","    Household consumption expenditure (including NPISH)",4897.4618238859,5327.4484115973,4163.3853734709
"          South Sudan","    General government final consumption expenditure",664.8050833776,591.0824851493001,781.4374095778001
"          Spain","  Final consumption expenditure",951891.1084252169,1010425.253395296,1092381.740614117
"          Spain","    Household consumption expenditure (including NPISH)",717079.436359686,766039.0651270602,827034.2527607837
"          Spain","    General government final consumption expenditure",234811.6720655309,244386.1882682357,265347.4878533331
"          Sri Lanka","  Final consumption expenditure",65456.0575116503,66120.9846719489,68049.32516460121
"          Sri Lanka","    Household consumption expenditure (including NPISH)",58485.7705415853,58659.9629887347,59982.011345534
"          Sri Lanka","    General government final consumption expenditure",6970.286970065,7461.0216832142,8067.3138190671
"          State of Palestine","  Final consumption expenditure",17159.3,17648.5,18047.5
"          State of Palestine","    Household consumption expenditure (including NPISH)",13534,14301.8,14468.1
"          State of Palestine","    General government final consumption expenditure",3625.3,3346.7,3579.4
"          Sudan","  Final consumption expenditure",86726.3070861671,116284.1908860214,45292.2120194434
"          Sudan","    Household consumption expenditure (including NPISH)",81433.2401989706,107943.8037154964,41545.2737557083
"          Sudan","    General government final consumption expenditure",5293.0668871965,8340.387170525,3746.9382637351
"          Sudan (...2011)","  Final consumption expenditure","_","_","_"
"          Sudan (...2011)","    Household consumption expenditure (including NPISH)","_","_","_"
"          Sudan (...2011)","    General government final consumption expenditure","_","_","_"
"          Suriname","  Final consumption expenditure",1556.7701585189,1600.9049541488,1723.968360508
"          Suriname","    Household consumption expenditure (including NPISH)",1153.8971837549,1187.3629230249,1277.7541357698
"          Suriname","    General government final consumption expenditure",402.872974764,413.5420311239,446.2142247382
"          Sweden","  Final consumption expenditure",372417.6715113986,388130.0754203802,398576.323585551
"          Sweden","    Household consumption expenditure (including NPISH)",236463.3228834023,247343.9492376811,253828.0525148927
"          Sweden","    General government final consumption expenditure",135954.3486279964,140786.126182699,144748.2710706583
"          Switzerland, Liechtenstein","  Final consumption expenditure",446554.930250261,454921.7337518511,467078.692684199
"          Switzerland, Liechtenstein","    Household consumption expenditure (including NPISH)",366720.2159699058,374360.0759097178,384805.3913142333
"          Switzerland, Liechtenstein","    General government final consumption expenditure",79834.7142803552,80561.6578421333,82273.3013699658
"          Syrian Arab Republic","  Final consumption expenditure",8886.2014612202,9571.4023207799,11745.2603920737
"          Syrian Arab Republic","    Household consumption expenditure (including NPISH)",7392.5660523563,7963.4570936091,9771.550791564499
"          Syrian Arab Republic","    General government final consumption expenditure",1493.6354088639,1607.9452271709,1973.7096005092
"          Tajikistan","  Final consumption expenditure",6460.1837110396,6951.0528806621,8290.942692611001
"          Tajikistan","    Household consumption expenditure (including NPISH)",5480.6637590252,5871.6424590607,7017.6502602022
"          Tajikistan","    General government final consumption expenditure",979.5199520143,1079.4104217184,1273.2924324088
"          Tanzania, United Republic of","  Final consumption expenditure",35210.8489975075,37595.1450817351,39856.3874255673
"          Tanzania, United Republic of","    Household consumption expenditure (including NPISH)",30583.6784430405,32941.7229369601,35100.4412718
"          Tanzania, United Republic of","    General government final consumption expenditure",4627.170554467,4653.422144775,4755.9461537677
"          Thailand","  Final consumption expenditure",275266.8143997759,296386.8002446766,327733.612391934
"          Thailand","    Household consumption expenditure (including NPISH)",205432.1807286207,221844.7235143577,246112.765141758
"          Thailand","    General government final consumption expenditure",69834.6336711552,74542.07673031891,81620.847250176
"          Timor-Leste","  Final consumption expenditure",1882.923542,1884.047736,1922.416395
"          Timor-Leste","    Household consumption expenditure (including NPISH)",970.692853,1010.469315,1042.486836
"          Timor-Leste","    General government final consumption expenditure",912.230689,873.5784210000001,879.929559
"          Togo","  Final consumption expenditure",5528.2719514084,5709.8036014448,6629.917177185
"          Togo","    Household consumption expenditure (including NPISH)",4694.3986511234,4887.8618943369,5625.5070287887
"          Togo","    General government final consumption expenditure",833.873300285,821.941707108,1004.4101483964
"          Tonga","  Final consumption expenditure",492.7054028787,536.9807189886,577.1310833946
"          Tonga","    Household consumption expenditure (including NPISH)",406.7350648894,444.4225176739,484.9561396392
"          Tonga","    General government final consumption expenditure",85.97033798930001,92.55820086129999,92.17494375539999
"          Trinidad and Tobago","  Final consumption expenditure",18470.4990439798,17843.9831085511,19469.0508751976
"          Trinidad and Tobago","    Household consumption expenditure (including NPISH)",14856.7348768175,14347.5929847593,15652.1148817294
"          Trinidad and Tobago","    General government final consumption expenditure",3613.7641670124,3496.3901236444,3816.9359933205
"          Tunisia","  Final consumption expenditure",38586.5054856381,37045.2896865991,36683.2607107775
"          Tunisia","    Household consumption expenditure (including NPISH)",30020.2976365979,28731.7854448888,28748.4069213913
"          Tunisia","    General government final consumption expenditure",8566.2078490402,8313.5042417103,7934.8537893862
"          Turkey","  Final consumption expenditure",644796.5469877567,626968.0841165092,551523.1069306211
"          Turkey","    Household consumption expenditure (including NPISH)",516664.3051247211,503443.3324035108,437206.6736060118
"          Turkey","    General government final consumption expenditure",128132.2418630357,123524.7517129983,114316.4333246094
"          Turkmenistan","  Final consumption expenditure",7093.3393597143,7589.2073865714,8193.322102857101
"          Turkmenistan","    Household consumption expenditure (including NPISH)",3825.99506,4171.494874,4520.8746268571
"          Turkmenistan","    General government final consumption expenditure",3267.3442997143,3417.7125125714,3672.447476
"          Turks and Caicos Islands","  Final consumption expenditure",631.794597,634.18246,689.351762
"          Turks and Caicos Islands","    Household consumption expenditure (including NPISH)",407.337235,413.751778,449.469898
"          Turks and Caicos Islands","    General government final consumption expenditure",224.457362,220.430682,239.881864
"          Tuvalu","  Final consumption expenditure",65.48456421829999,81.2939447495,89.8142745622
"          Tuvalu","    Household consumption expenditure (including NPISH)",28.090513237,41.5822128011,46.7615287005
"          Tuvalu","    General government final consumption expenditure",37.3940509813,39.7117319484,43.0527458617
"          Uganda","  Final consumption expenditure",21165.8526800043,23009.6562587953,25193.9057702453
"          Uganda","    Household consumption expenditure (including NPISH)",18935.5711703144,20345.151613217,21705.8076863934
"          Uganda","    General government final consumption expenditure",2230.2815096899,2664.5046455783,3488.0980838518
"          Ukraine","  Final consumption expenditure",79539.0170517299,98438.3485046361,117986.5408563623
"          Ukraine","    Household consumption expenditure (including NPISH)",62172.9179676682,75254.1500003329,90798.1726850362
"          Ukraine","    General government final consumption expenditure",17366.0990840617,23184.1985043032,27188.3681713261
"          Union of Soviet Socialist Republics","  Final consumption expenditure","_","_","_"
"          Union of Soviet Socialist Republics","    Household consumption expenditure (including NPISH)","_","_","_"
"          Union of Soviet Socialist Republics","    General government final consumption expenditure","_","_","_"
"          United Arab Emirates","  Final consumption expenditure",173959.2056623554,194803.4791281144,211618.507375902
"          United Arab Emirates","    Household consumption expenditure (including NPISH)",129233.9176781484,143857.5295025187,161715.9886556841
"          United Arab Emirates","    General government final consumption expenditure",44725.2879839347,50945.9496255956,49902.5187202178
"          United Kingdom","  Final consumption expenditure",2261489.414952532,2215796.966669886,2380143.683329512
"          United Kingdom","    Household consumption expenditure (including NPISH)",1745732.967307353,1717363.626885617,1848619.190217068
"          United Kingdom","    General government final consumption expenditure",515756.4476451786,498433.3397842689,531524.4931124433
"          United States of America","  Final consumption expenditure",15500400.1,16154569.3,16957472.6
"          United States of America","    Household consumption expenditure (including NPISH)",12830941.4,13402807.8,14058130.8
"          United States of America","    General government final consumption expenditure",2669458.7,2751761.5,2899341.8
